TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
0.003872,359,1,-358,-99.72,CAPA
0.002673792,1740,8,-1732,-99.54,CAPA
0.001573,112,1,-111,-99.11,CAPA
0.00595,95,1,-94,-98.95,CAPA
0.00135,296,4,-292,-98.65,CAPA
0.000234,473,7,-466,-98.52,CAPA
0.00120118,119,2,-117,-98.32,CAPA
0.0045225,54,1,-53,-98.15,CAPA
0.000984528,54,1,-53,-98.15,CAPA
0.004092,40,1,-39,-97.5,CAPA
0.007465176,186,5,-181,-97.31,CAPA
0.0010335,177,5,-172,-97.18,CAPA
0.000104,425,13,-412,-96.94,CAPA
0.000935,32,1,-31,-96.88,CAPA
0.00325248,94,3,-91,-96.81,CAPA
0.000456,94,3,-91,-96.81,CAPA
0.000806,59,2,-57,-96.61,CAPA
0.004224,183,7,-176,-96.17,CAPA
0.002584625,25,1,-24,-96.0,CAPA
0.00333,25,1,-24,-96.0,CAPA
0.0006475,142,6,-136,-95.77,CAPA
0.00049896,256,11,-245,-95.7,CAPA
0.001254,92,4,-88,-95.65,CAPA
0.002275,45,2,-43,-95.56,CAPA
0.006682104,44,2,-42,-95.45,CAPA
0.00539,22,1,-21,-95.45,CAPA
0.007236,150,7,-143,-95.33,CAPA
2.52e-05,21,1,-20,-95.24,CAPA
0.0041535,146,7,-139,-95.21,CAPA
3.52e-05,355,18,-337,-94.93,CAPA
0.00475524,95,5,-90,-94.74,CAPA
0.006864984,95,5,-90,-94.74,CAPA
0.01106677,19,1,-18,-94.74,CAPA
0.00065,205,11,-194,-94.63,CAPA
0.00056925,91,5,-86,-94.51,CAPA
0.002016,434,25,-409,-94.24,CAPA
0.000629,68,4,-64,-94.12,CAPA
0.000474525,34,2,-32,-94.12,CAPA
0.000735,75,5,-70,-93.33,CAPA
0.000455,208,14,-194,-93.27,CAPA
0.003162,41,3,-38,-92.68,CAPA
0.00063388,26,2,-24,-92.31,CAPA
0.000858,25,2,-23,-92.0,CAPA
0.001654653,11,1,-10,-90.91,CAPA
6.825e-05,22,2,-20,-90.91,CAPA
0.001089,53,5,-48,-90.57,CAPA
0.000544,21,2,-19,-90.48,CAPA
0.0001755,61,6,-55,-90.16,CAPA
0.0004675,28,3,-25,-89.29,CAPA
0.00171495,9,1,-8,-88.89,CAPA
0.001127,9,1,-8,-88.89,CAPA
0.00112,9,1,-8,-88.89,CAPA
0.00098,52,6,-46,-88.46,CAPA
0.000264,99,12,-87,-87.88,CAPA
0.0004485,277,34,-243,-87.73,CAPA
0.0005453,8,1,-7,-87.5,CAPA
0.0004375,8,1,-7,-87.5,CAPA
1.3e-05,54,7,-47,-87.04,CAPA
0.000119574,23,3,-20,-86.96,CAPA
0.012461568,457,60,-397,-86.87,CAPA
0.000531,15,2,-13,-86.67,CAPA
0.00033,160,22,-138,-86.25,CAPA
0.003,94,13,-81,-86.17,CAPA
0.000372,7,1,-6,-85.71,CAPA
0.001408,14,2,-12,-85.71,CAPA
0.00234,394,58,-336,-85.28,CAPA
0.003735,231,34,-197,-85.28,CAPA
0.00204,38,6,-32,-84.21,CAPA
0.0017928,6,1,-5,-83.33,CAPA
0.00072225,6,1,-5,-83.33,CAPA
0.00245,6,1,-5,-83.33,CAPA
1.98e-05,6,1,-5,-83.33,CAPA
0.000385,6,1,-5,-83.33,CAPA
0.00147,6,1,-5,-83.33,CAPA
0.00373175,6,1,-5,-83.33,CAPA
0.002904,177,30,-147,-83.05,CAPA
0.00088,11,2,-9,-81.82,CAPA
0.00165168,11,2,-9,-81.82,CAPA
0.00035075,10,2,-8,-80.0,CAPA
0.003726,5,1,-4,-80.0,CAPA
0.0001275,5,1,-4,-80.0,CAPA
0.00627,5,1,-4,-80.0,CAPA
0.000154652,5,1,-4,-80.0,CAPA
0.000153,15,3,-12,-80.0,CAPA
0.0002352,5,1,-4,-80.0,CAPA
0.00229104,5,1,-4,-80.0,CAPA
0.003276,5,1,-4,-80.0,CAPA
0.00528,5,1,-4,-80.0,CAPA
0.001331,141,31,-110,-78.01,CAPA
0.001053,8,2,-6,-75.0,CAPA
0.0003192,4,1,-3,-75.0,CAPA
0.000352,4,1,-3,-75.0,CAPA
3e-05,8,2,-6,-75.0,CAPA
0.0003276,4,1,-3,-75.0,CAPA
0.004914,68,17,-51,-75.0,CAPA
0.001615,4,1,-3,-75.0,CAPA
0.00014,31,8,-23,-74.19,CAPA
0.00024,157,43,-114,-72.61,CAPA
0.001623027,29,8,-21,-72.41,CAPA
0.00023925,7,2,-5,-71.43,CAPA
0.00145,7,2,-5,-71.43,CAPA
0.002508,7,2,-5,-71.43,CAPA
0.00031875,7,2,-5,-71.43,CAPA
0.003225,7,2,-5,-71.43,CAPA
0.000408,23,7,-16,-69.57,CAPA
0.001064,13,4,-9,-69.23,CAPA
0.000108,57,19,-38,-66.67,CAPA
0.000121,3,1,-2,-66.67,CAPA
0.00111228,3,1,-2,-66.67,CAPA
0.00208,3,1,-2,-66.67,CAPA
0.0001456,3,1,-2,-66.67,CAPA
0.0002553,3,1,-2,-66.67,CAPA
0.00012936,3,1,-2,-66.67,CAPA
0.002473192,6,2,-4,-66.67,CAPA
0.001274133,3,1,-2,-66.67,CAPA
0.00115804,3,1,-2,-66.67,CAPA
0.000120785,3,1,-2,-66.67,CAPA
0.000627,3,1,-2,-66.67,CAPA
0.000341,3,1,-2,-66.67,CAPA
5.2272e-05,3,1,-2,-66.67,CAPA
0.00423,9,3,-6,-66.67,CAPA
0.0003971,3,1,-2,-66.67,CAPA
0.001925,3,1,-2,-66.67,CAPA
0.0044,3,1,-2,-66.67,CAPA
0.000726,3,1,-2,-66.67,CAPA
0.000770303,3,1,-2,-66.67,CAPA
8.475e-05,6,2,-4,-66.67,CAPA
0.000204336,3,1,-2,-66.67,CAPA
0.000459375,3,1,-2,-66.67,CAPA
0.000468814,3,1,-2,-66.67,CAPA
9.1e-06,3,1,-2,-66.67,CAPA
0.00047061,3,1,-2,-66.67,CAPA
0.0092625,3,1,-2,-66.67,CAPA
0.0004455,3,1,-2,-66.67,CAPA
6.0025e-05,15,5,-10,-66.67,CAPA
0.0004104,3,1,-2,-66.67,CAPA
0.000156468,3,1,-2,-66.67,CAPA
0.001013166,3,1,-2,-66.67,CAPA
0.0001995,3,1,-2,-66.67,CAPA
0.00361,15,5,-10,-66.67,CAPA
6.51e-05,3,1,-2,-66.67,CAPA
0.00083993,3,1,-2,-66.67,CAPA
0.000343143,3,1,-2,-66.67,CAPA
0.0003485,3,1,-2,-66.67,CAPA
0.000135,71,24,-47,-66.2,CAPA
0.00016,35,12,-23,-65.71,CAPA
0.000132,33,12,-21,-63.64,CAPA
0.000423,11,4,-7,-63.64,CAPA
0.00356184,139,51,-88,-63.31,CAPA
0.002728,8,3,-5,-62.5,CAPA
0.000304,8,3,-5,-62.5,CAPA
9.9e-05,8,3,-5,-62.5,CAPA
0.000184824,8,3,-5,-62.5,CAPA
5e-05,16,6,-10,-62.5,CAPA
0.001256346,8,3,-5,-62.5,CAPA
3.6e-05,58,22,-36,-62.07,CAPA
0.00047073,13,5,-8,-61.54,CAPA
0.001056,5,2,-3,-60.0,CAPA
0.00085,5,2,-3,-60.0,CAPA
0.001903125,5,2,-3,-60.0,CAPA
0.0012075,10,4,-6,-60.0,CAPA
0.000242,5,2,-3,-60.0,CAPA
0.00040425,5,2,-3,-60.0,CAPA
1.4432e-05,37,15,-22,-59.46,CAPA
0.000192,32,13,-19,-59.38,CAPA
1.95e-05,22,9,-13,-59.09,CAPA
0.00048,116,49,-67,-57.76,CAPA
0.00052,7,3,-4,-57.14,CAPA
0.000105,498,216,-282,-56.63,CAPA
0.000891,18,8,-10,-55.56,CAPA
0.000546,9,4,-5,-55.56,CAPA
0.000165,20,9,-11,-55.0,CAPA
1.8e-05,40,18,-22,-55.0,CAPA
