TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
72151310,1,110,-109,-10900.0,FD_BUNRUI
86416010,1,67,-66,-6600.0,FD_BUNRUI
77116031,1,63,-62,-6200.0,FD_BUNRUI
72160410,1,44,-43,-4300.0,FD_BUNRUI
11608080,1,43,-42,-4200.0,FD_BUNRUI
77573024,2,75,-73,-3650.0,FD_BUNRUI
56505050,4,112,-108,-2700.0,FD_BUNRUI
12408212,1,25,-24,-2400.0,FD_BUNRUI
33151030,1,24,-23,-2300.0,FD_BUNRUI
63814210,1,21,-20,-2000.0,FD_BUNRUI
51708282,2,38,-36,-1800.0,FD_BUNRUI
47401010,1,18,-17,-1700.0,FD_BUNRUI
45405010,1,17,-16,-1600.0,FD_BUNRUI
45406020,1,17,-16,-1600.0,FD_BUNRUI
35183010,17,257,-240,-1411.76,FD_BUNRUI
63813333,1,15,-14,-1400.0,FD_BUNRUI
45403040,3,42,-39,-1300.0,FD_BUNRUI
71112001,4,52,-48,-1200.0,FD_BUNRUI
63305050,1,12,-11,-1100.0,FD_BUNRUI
13302310,1,12,-11,-1100.0,FD_BUNRUI
33174010,4,47,-43,-1075.0,FD_BUNRUI
45401020,1,11,-10,-1000.0,FD_BUNRUI
45101020,8,77,-69,-862.5,FD_BUNRUI
64710308,86,782,-696,-809.3,FD_BUNRUI
64710334,16,142,-126,-787.5,FD_BUNRUI
56831010,28,231,-203,-725.0,FD_BUNRUI
64710309,64,525,-461,-720.31,FD_BUNRUI
63305052,5,41,-36,-720.0,FD_BUNRUI
63813232,1,8,-7,-700.0,FD_BUNRUI
12723030,2,16,-14,-700.0,FD_BUNRUI
45103010,23,184,-161,-700.0,FD_BUNRUI
35171010,1,8,-7,-700.0,FD_BUNRUI
63819363,1,8,-7,-700.0,FD_BUNRUI
45303020,14,111,-97,-692.86,FD_BUNRUI
13302110,2,15,-13,-650.0,FD_BUNRUI
64710804,4,30,-26,-650.0,FD_BUNRUI
15606060,22,155,-133,-604.55,FD_BUNRUI
15606061,4,28,-24,-600.0,FD_BUNRUI
77215014,1,7,-6,-600.0,FD_BUNRUI
63816363,1,7,-6,-600.0,FD_BUNRUI
12720020,1,7,-6,-600.0,FD_BUNRUI
63705052,1,7,-6,-600.0,FD_BUNRUI
63815456,2,13,-11,-550.0,FD_BUNRUI
36252010,3,18,-15,-500.0,FD_BUNRUI
64710333,1,6,-5,-500.0,FD_BUNRUI
45105020,5,28,-23,-460.0,FD_BUNRUI
45202010,5,27,-22,-440.0,FD_BUNRUI
33151010,23,123,-100,-434.78,FD_BUNRUI
