TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
4549550272056,5,223,-218,-4360.0,JAN_CD
9760107820529,1,41,-40,-4000.0,JAN_CD
4571411192760,1,40,-39,-3900.0,JAN_CD
4582353597636,3,93,-90,-3000.0,JAN_CD
885155019493,1,29,-28,-2800.0,JAN_CD
4549550272414,1,28,-27,-2700.0,JAN_CD
4580350280810,1,26,-25,-2500.0,JAN_CD
4549980443576,1,22,-21,-2100.0,JAN_CD
4549550272049,4,81,-77,-1925.0,JAN_CD
4517228031076,2,40,-38,-1900.0,JAN_CD
4988075700147,1,19,-18,-1800.0,JAN_CD
4522327945049,1,18,-17,-1700.0,JAN_CD
4522327945087,1,18,-17,-1700.0,JAN_CD
4547410377231,9,155,-146,-1622.22,JAN_CD
4549550236669,2,34,-32,-1600.0,JAN_CD
4582267399890,5,83,-78,-1560.0,JAN_CD
3045386381265,3,49,-46,-1533.33,JAN_CD
4995860514780,3,45,-42,-1400.0,JAN_CD
4571411200151,1,14,-13,-1300.0,JAN_CD
4988075704695,1,14,-13,-1300.0,JAN_CD
4589440761031,1,14,-13,-1300.0,JAN_CD
4571411195839,1,14,-13,-1300.0,JAN_CD
4582269540917,1,12,-11,-1100.0,JAN_CD
4549550173780,1,12,-11,-1100.0,JAN_CD
4549550137324,1,12,-11,-1100.0,JAN_CD
4549980616819,1,12,-11,-1100.0,JAN_CD
4943765058731,1,11,-10,-1000.0,JAN_CD
4902710708930,1,11,-10,-1000.0,JAN_CD
4988075698338,1,10,-9,-900.0,JAN_CD
4902901776984,1,10,-9,-900.0,JAN_CD
4582521680061,1,10,-9,-900.0,JAN_CD
4902704240651,1,10,-9,-900.0,JAN_CD
4589440761048,1,10,-9,-900.0,JAN_CD
4549980652640,2,19,-17,-850.0,JAN_CD
4549980595770,2,19,-17,-850.0,JAN_CD
4518707301642,1,9,-8,-800.0,JAN_CD
4960999484112,1,9,-8,-800.0,JAN_CD
4967576568104,2,18,-16,-800.0,JAN_CD
4960999484129,1,9,-8,-800.0,JAN_CD
4571411195099,1,9,-8,-800.0,JAN_CD
4582269540825,1,9,-8,-800.0,JAN_CD
4907990302632,1,9,-8,-800.0,JAN_CD
4571411199257,2,16,-14,-700.0,JAN_CD
4580548442686,1,8,-7,-700.0,JAN_CD
4978877204233,1,8,-7,-700.0,JAN_CD
4571411203305,1,8,-7,-700.0,JAN_CD
4580350283941,3,24,-21,-700.0,JAN_CD
4969887836491,1,8,-7,-700.0,JAN_CD
4907986022049,1,8,-7,-700.0,JAN_CD
4969887836347,1,8,-7,-700.0,JAN_CD
4988075696358,1,8,-7,-700.0,JAN_CD
4549550249065,2,16,-14,-700.0,JAN_CD
4988075700055,1,8,-7,-700.0,JAN_CD
4549550249201,2,15,-13,-650.0,JAN_CD
4547410377224,8,59,-51,-637.5,JAN_CD
4971275605862,1,7,-6,-600.0,JAN_CD
4580366820741,2,14,-12,-600.0,JAN_CD
4548736062221,1,7,-6,-600.0,JAN_CD
4969887836323,1,7,-6,-600.0,JAN_CD
