TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
PM-P222FLGGBL,5,223,-218,-4360.0,KATAMEI
TVｼﾕｳﾍﾝｷｷｻﾎﾟ-ﾄIDAﾄﾞｳｺﾝ1Y,1,41,-40,-4000.0,KATAMEI
A1291011,1,40,-39,-3900.0,KATAMEI
AMFIAL200CMK-SV,3,93,-90,-3000.0,KATAMEI
4648034,1,29,-28,-2800.0,KATAMEI
PM-X224FLGG,1,28,-27,-2700.0,KATAMEI
DRM0032,1,26,-25,-2500.0,KATAMEI
EW09104C-W,1,22,-21,-2100.0,KATAMEI
PM-P222FLGG,4,81,-77,-1925.0,KATAMEI
SQ762W,2,40,-38,-1900.0,KATAMEI
GE3494IP261,1,19,-18,-1800.0,KATAMEI
41-945087,1,18,-17,-1700.0,KATAMEI
41-945049,1,18,-17,-1700.0,KATAMEI
INSTAXMINIJP2,9,155,-146,-1622.22,KATAMEI
PM-F212FLGG,2,34,-32,-1600.0,KATAMEI
SL-013BK,5,83,-78,-1560.0,KATAMEI
KO1711JP,3,49,-46,-1533.33,KATAMEI
EDW012,3,45,-42,-1400.0,KATAMEI
A2633NQ9,1,14,-13,-1300.0,KATAMEI
A2147N21,1,14,-13,-1300.0,KATAMEI
GP3649PXL6A,1,14,-13,-1300.0,KATAMEI
AR-AP50-BR-E2,1,14,-13,-1300.0,KATAMEI
TR-IP22M2-CGC-CCCL,1,12,-11,-1100.0,KATAMEI
N-W1A,1,12,-11,-1100.0,KATAMEI
TK-FBM112BK,1,12,-11,-1100.0,KATAMEI
U3HC-A429BXWF,1,12,-11,-1100.0,KATAMEI
G240F,1,11,-10,-1000.0,KATAMEI
WH2122WP,1,11,-10,-1000.0,KATAMEI
GST3413XP104,1,10,-9,-900.0,KATAMEI
AR-A50-WG-E2,1,10,-9,-900.0,KATAMEI
LR44P,1,10,-9,-900.0,KATAMEI
LR20EM/4S,1,10,-9,-900.0,KATAMEI
SL-002AGR,1,10,-9,-900.0,KATAMEI
FHD100ECWLCF3,2,19,-17,-850.0,KATAMEI
EW-DJ55-W,2,19,-17,-850.0,KATAMEI
A2027N21,1,9,-8,-800.0,KATAMEI
TAP134UW,1,9,-8,-800.0,KATAMEI
GL-101A420,1,9,-8,-800.0,KATAMEI
LDA14L-G-10EDA,2,18,-16,-800.0,KATAMEI
GL-101A450,1,9,-8,-800.0,KATAMEI
ｺ-ﾙﾏﾝ ｾﾙﾌｲ-ｽﾀﾝﾄﾞ(BK),1,9,-8,-800.0,KATAMEI
TR-IP22M2-TT-CL,1,9,-8,-800.0,KATAMEI
A1112N11,2,16,-14,-700.0,KATAMEI
TAP-TSH32N,1,8,-7,-700.0,KATAMEI
G3315IP247,1,8,-7,-700.0,KATAMEI
PM-X222FLGG,2,16,-14,-700.0,KATAMEI
GST3485IP261,1,8,-7,-700.0,KATAMEI
A80A1N31,1,8,-7,-700.0,KATAMEI
DRMLC902,3,24,-21,-700.0,KATAMEI
SCDP2W-P,1,8,-7,-700.0,KATAMEI
WP4,1,8,-7,-700.0,KATAMEI
RT-GP7CC2/CM,1,8,-7,-700.0,KATAMEI
TAP-TSH43N,1,8,-7,-700.0,KATAMEI
PM-X223FLF,2,15,-13,-650.0,KATAMEI
INSTAXMINIJP1,8,59,-51,-637.5,KATAMEI
TICE750W,1,7,-6,-600.0,KATAMEI
KL100SLU,1,7,-6,-600.0,KATAMEI
TAP-TSH31N,1,7,-6,-600.0,KATAMEI
LB-PS35L40C-2P,1,7,-6,-600.0,KATAMEI
TR-IP22M3-G3-B3CCBK,1,7,-6,-600.0,KATAMEI
MDREX155LI,1,7,-6,-600.0,KATAMEI
CHW601E1,1,7,-6,-600.0,KATAMEI
EDLTL40-LED-28N,2,14,-12,-600.0,KATAMEI
GL-101L100,2,13,-11,-550.0,KATAMEI
ECI-C310B-V,18,113,-95,-527.78,KATAMEI
41-945971,1,6,-5,-500.0,KATAMEI
SCJ2LSW-P,1,6,-5,-500.0,KATAMEI
ES-RT19-A,1,6,-5,-500.0,KATAMEI
A2147NV1,1,6,-5,-500.0,KATAMEI
PM-A22AFLGGE,1,6,-5,-500.0,KATAMEI
G640S,1,6,-5,-500.0,KATAMEI
MUJ-EGK1.5M GM,1,6,-5,-500.0,KATAMEI
5BNR2VJPS4,1,6,-5,-500.0,KATAMEI
PM-A22CFLGGBL,1,6,-5,-500.0,KATAMEI
LRｰ44/2P,5,30,-25,-500.0,KATAMEI
PM-A22AFLLG,1,6,-5,-500.0,KATAMEI
DLC-HJ20B,1,6,-5,-500.0,KATAMEI
LR14EM/4S,2,12,-10,-500.0,KATAMEI
LDA8L-G/60V1,1,6,-5,-500.0,KATAMEI
LDA4LHE17ESW2,1,6,-5,-500.0,KATAMEI
LAM-FA3203,1,6,-5,-500.0,KATAMEI
SCL-75LMS-LGP,1,6,-5,-500.0,KATAMEI
CAC-HDMIVGA10BK,1,6,-5,-500.0,KATAMEI
CD-31ECO,1,6,-5,-500.0,KATAMEI
KBPPCZ3,1,6,-5,-500.0,KATAMEI
SH412ST,2,12,-10,-500.0,KATAMEI
IN-SN13NV,1,6,-5,-500.0,KATAMEI
P351722C,1,6,-5,-500.0,KATAMEI
B2149N21,1,6,-5,-500.0,KATAMEI
SCL12DMS-TH,1,6,-5,-500.0,KATAMEI
EW-DJ75-W,1,6,-5,-500.0,KATAMEI
ES-LT2B-K,3,17,-14,-466.67,KATAMEI
PM-A19CFLFPBLR,2,11,-9,-450.0,KATAMEI
SD201L100,2,11,-9,-450.0,KATAMEI
SL-002AB,3,16,-13,-433.33,KATAMEI
LR03AN 4BP,7,36,-29,-414.29,KATAMEI
TR-IP22M2-G3-GOCCBK,1,5,-4,-400.0,KATAMEI
OWL-ADCMFM-RE,1,5,-4,-400.0,KATAMEI
NT-18UBK,1,5,-4,-400.0,KATAMEI
SE-BE00A,1,5,-4,-400.0,KATAMEI
SL-013GR,4,20,-16,-400.0,KATAMEI
M550MOW,1,5,-4,-400.0,KATAMEI
M-DY10DRSKPN,1,5,-4,-400.0,KATAMEI
LR14FH(4S),1,5,-4,-400.0,KATAMEI
LDA5L-G-4EDA,4,20,-16,-400.0,KATAMEI
TAP-TSH33N,1,5,-4,-400.0,KATAMEI
TB-A21PMFLGG,1,5,-4,-400.0,KATAMEI
FPL27EXNCF3,2,10,-8,-400.0,KATAMEI
TR-IP22M2-GR-CLBK,2,10,-8,-400.0,KATAMEI
IN-CA13BK,1,5,-4,-400.0,KATAMEI
100-92200901-40,2,10,-8,-400.0,KATAMEI
A-ONE.51291,1,5,-4,-400.0,KATAMEI
A8662N12,2,10,-8,-400.0,KATAMEI
A-360SBW,2,10,-8,-400.0,KATAMEI
A3125N11,2,10,-8,-400.0,KATAMEI
A8012N12,2,9,-7,-350.0,KATAMEI
7083IP261TP,2,9,-7,-350.0,KATAMEI
JBT-401CRW,2,9,-7,-350.0,KATAMEI
VL-SWZ200KL,2,9,-7,-350.0,KATAMEI
GL-1012L50,2,9,-7,-350.0,KATAMEI
LR03XJSP/14S,10,44,-34,-340.0,KATAMEI
8RZ166SR03,13,57,-44,-338.46,KATAMEI
WC-AG15PN,16,70,-54,-337.5,KATAMEI
CR1632EM/1BP,3,13,-10,-333.33,KATAMEI
M550LGR,1,4,-3,-300.0,KATAMEI
SL-002AW,1,4,-3,-300.0,KATAMEI
M-Y9UBXWH,1,4,-3,-300.0,KATAMEI
LS4366,1,4,-3,-300.0,KATAMEI
6675ARWEHB,1,4,-3,-300.0,KATAMEI
SR1130P,1,4,-3,-300.0,KATAMEI
VSI-1031/PJ,1,4,-3,-300.0,KATAMEI
SD-MIX100A,1,4,-3,-300.0,KATAMEI
LR14NJ/2SE,1,4,-3,-300.0,KATAMEI
MCAA2001BR,1,4,-3,-300.0,KATAMEI
GP3706PXL7,2,8,-6,-300.0,KATAMEI
ED-CCYS20BK,1,4,-3,-300.0,KATAMEI
LM-125,1,4,-3,-300.0,KATAMEI
LDT1YR-G-E12-G10013P,1,4,-3,-300.0,KATAMEI
6960XP104BO,1,4,-3,-300.0,KATAMEI
LDA4N-G-E17-4T5,1,4,-3,-300.0,KATAMEI
LC3119BK,1,4,-3,-300.0,KATAMEI
G3150AQOS6,1,4,-3,-300.0,KATAMEI
USB-2TCH23SN,1,4,-3,-300.0,KATAMEI
7081IP261TR,1,4,-3,-300.0,KATAMEI
G3405XP104,1,4,-3,-300.0,KATAMEI
USB-3TCH21SN,1,4,-3,-300.0,KATAMEI
JKIQ2400EDWH,1,4,-3,-300.0,KATAMEI
GI30PGBK,1,4,-3,-300.0,KATAMEI
GWP-10A224WT,1,4,-3,-300.0,KATAMEI
GST3483IP261,1,4,-3,-300.0,KATAMEI
TQ-479-8JF,1,4,-3,-300.0,KATAMEI
BCI-330XLPGBK,2,8,-6,-300.0,KATAMEI
LDC3L-G-E17-FC,1,4,-3,-300.0,KATAMEI
MPA-AC15NWH,1,4,-3,-300.0,KATAMEI
AXW22A-6RU0,2,8,-6,-300.0,KATAMEI
RTWS05BK,2,8,-6,-300.0,KATAMEI
PKB7MSB,1,4,-3,-300.0,KATAMEI
FDL18EXNCF3,1,4,-3,-300.0,KATAMEI
MPA-AC01NBK,1,4,-3,-300.0,KATAMEI
TSC212LC15K,1,4,-3,-300.0,KATAMEI
FCL30.32EDF-SHG-A2,1,4,-3,-300.0,KATAMEI
EW0983-X,1,4,-3,-300.0,KATAMEI
ES-RL15-A,2,8,-6,-300.0,KATAMEI
PR80PC10S4,1,4,-3,-300.0,KATAMEI
AP7W(W)-P,1,4,-3,-300.0,KATAMEI
QB-082CWH,1,4,-3,-300.0,KATAMEI
QB-082DEDBK,1,4,-3,-300.0,KATAMEI
R20CAAC3A03WH,1,4,-3,-300.0,KATAMEI
REG-04PK,1,4,-3,-300.0,KATAMEI
41-945100,1,4,-3,-300.0,KATAMEI
FFM-351-PRW,2,8,-6,-300.0,KATAMEI
M235NIW,1,4,-3,-300.0,KATAMEI
TR-IP22M3-G3-CCBK,1,4,-3,-300.0,KATAMEI
41-946312,1,4,-3,-300.0,KATAMEI
MPA-ACCP20WF,2,8,-6,-300.0,KATAMEI
41-946336,1,4,-3,-300.0,KATAMEI
FHC2734EL2CF32K,1,4,-3,-300.0,KATAMEI
LR6EM/24S,28,108,-80,-285.71,KATAMEI
LDA8L-G-6EDA2P,14,53,-39,-278.57,KATAMEI
LW100V38W-W,3,11,-8,-266.67,KATAMEI
ZP-2030-50,2,7,-5,-250.0,KATAMEI
LC100V60W55/2P,2,7,-5,-250.0,KATAMEI
EDMB01WH,2,7,-5,-250.0,KATAMEI
CICIW32SRM,2,7,-5,-250.0,KATAMEI
PM-A22AHVCKKCR,2,7,-5,-250.0,KATAMEI
M331RBK,2,7,-5,-250.0,KATAMEI
M-BL27UBSKBK,2,7,-5,-250.0,KATAMEI
UR-20N 5P,2,7,-5,-250.0,KATAMEI
SM-ZB36-VM,2,7,-5,-250.0,KATAMEI
LR03EM/24S,13,45,-32,-246.15,KATAMEI
SL-013NV,3,10,-7,-233.33,KATAMEI
LR20NJ/2B,3,10,-7,-233.33,KATAMEI
CR1220P,12,40,-28,-233.33,KATAMEI
REG-04WH,3,10,-7,-233.33,KATAMEI
SL-013WH,7,23,-16,-228.57,KATAMEI
LR03EM/4S,4,13,-9,-225.0,KATAMEI
LR03NJ/20SW,4,13,-9,-225.0,KATAMEI
LDA4L-G-E17-4T5,4,13,-9,-225.0,KATAMEI
GE3426XPA3,1,3,-2,-200.0,KATAMEI
FHD85ENWLCF3,1,3,-2,-200.0,KATAMEI
TY-SR66(K),1,3,-2,-200.0,KATAMEI
XD-SG5000BK,1,3,-2,-200.0,KATAMEI
EDCALCM01WH,1,3,-2,-200.0,KATAMEI
FIR-P19-5P,3,9,-6,-200.0,KATAMEI
TR-IP22M3-GL-B3CC,1,3,-2,-200.0,KATAMEI
A2323N21,1,3,-2,-200.0,KATAMEI
FL20SSECW18HCF32K,3,9,-6,-200.0,KATAMEI
G3366GA53,1,3,-2,-200.0,KATAMEI
EW-DL38-A,1,3,-2,-200.0,KATAMEI
TSC281L10L,1,3,-2,-200.0,KATAMEI
FSFSRR5112C-040A,1,3,-2,-200.0,KATAMEI
TSC245LT20W,1,3,-2,-200.0,KATAMEI
G2219BSO4,1,3,-2,-200.0,KATAMEI
TR-IP22M3-LCA-DRCCCC,1,3,-2,-200.0,KATAMEI
TSC149CA10K,4,12,-8,-200.0,KATAMEI
G-11H(W),2,6,-4,-200.0,KATAMEI
TR-IP224-G3-CCBK,1,3,-2,-200.0,KATAMEI
A2147N11,1,3,-2,-200.0,KATAMEI
TSC149CA05K,2,6,-4,-200.0,KATAMEI
KO6301JP,1,3,-2,-200.0,KATAMEI
TH181SB10K,1,3,-2,-200.0,KATAMEI
SCL12L-TH,1,3,-2,-200.0,KATAMEI
MPA-UALPS10SV,1,3,-2,-200.0,KATAMEI
MUG-Y,1,3,-2,-200.0,KATAMEI
NDGSHA01,1,3,-2,-200.0,KATAMEI
RT-RXP10M4CC2/CM,1,3,-2,-200.0,KATAMEI
PM-A19CTSLFCBK,1,3,-2,-200.0,KATAMEI
PM-A20BFLF,1,3,-2,-200.0,KATAMEI
PM-A22CFLLG,1,3,-2,-200.0,KATAMEI
RT-P27CC2/CM,1,3,-2,-200.0,KATAMEI
PM-A22SFLGFO,1,3,-2,-200.0,KATAMEI
RT-P24TBC1/BB,1,3,-2,-200.0,KATAMEI
PM-L104,1,3,-2,-200.0,KATAMEI
PM-P221FLGG,1,3,-2,-200.0,KATAMEI
PM-S221FLGGBL,1,3,-2,-200.0,KATAMEI
210337-0428RH,3,9,-6,-200.0,KATAMEI
PM-X222PLFYBK,1,3,-2,-200.0,KATAMEI
R01CAAC3A03WH,1,3,-2,-200.0,KATAMEI
RB8NC01,1,3,-2,-200.0,KATAMEI
RE-STV03(BK),1,3,-2,-200.0,KATAMEI
MPA-CCL02BK,1,3,-2,-200.0,KATAMEI
A-ONE.51033,1,3,-2,-200.0,KATAMEI
MPA-ACMAC155BK,1,3,-2,-200.0,KATAMEI
MP-9,1,3,-2,-200.0,KATAMEI
INSMINI40,2,6,-4,-200.0,KATAMEI
INSTAXMINIMIC2WW1,1,3,-2,-200.0,KATAMEI
INSTAXSQUAREWW2,1,3,-2,-200.0,KATAMEI
JNR-753BL-PL,1,3,-2,-200.0,KATAMEI
JNY-502HNZ,1,3,-2,-200.0,KATAMEI
KA4100SFR,1,3,-2,-200.0,KATAMEI
KA420PSKR,1,3,-2,-200.0,KATAMEI
7118IP261TP,1,3,-2,-200.0,KATAMEI
7091IP261HB,1,3,-2,-200.0,KATAMEI
LB-PS35L40W-2P,3,9,-6,-200.0,KATAMEI
LC-G-3MP,1,3,-2,-200.0,KATAMEI
LC100V100W60/2P,1,3,-2,-200.0,KATAMEI
T-K5A-2650WH,1,3,-2,-200.0,KATAMEI
LN-IM22VMFLGY,1,3,-2,-200.0,KATAMEI
LR110V25WS,2,6,-4,-200.0,KATAMEI
LR6NJ/4SE,6,18,-12,-200.0,KATAMEI
SNM-142D,1,3,-2,-200.0,KATAMEI
MAC-200RH,1,3,-2,-200.0,KATAMEI
MC170,1,3,-2,-200.0,KATAMEI
MPA-AC20NWH,1,3,-2,-200.0,KATAMEI
ECI-EMUG-4P,1,3,-2,-200.0,KATAMEI
RKF5SXA,1,3,-2,-200.0,KATAMEI
BCI-381S+380S6MP,1,3,-2,-200.0,KATAMEI
CAC-HD14E10BK2,1,3,-2,-200.0,KATAMEI
CAC-HD14E30BK2,1,3,-2,-200.0,KATAMEI
AKB-100(PK),2,6,-4,-200.0,KATAMEI
BCI-320PGBK,1,3,-2,-200.0,KATAMEI
VX-ML10G,1,3,-2,-200.0,KATAMEI
AR80FHP30SV7,1,3,-2,-200.0,KATAMEI
WI-C100 C,1,3,-2,-200.0,KATAMEI
DLC-HJ30B,1,3,-2,-200.0,KATAMEI
CVSSLBK,1,3,-2,-200.0,KATAMEI
EAS-6350T(H),1,3,-2,-200.0,KATAMEI
BCI-301M,1,3,-2,-200.0,KATAMEI
