TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
ニッケン文具　株式会社,1,315,-314,-31400.0,NIOKURI_NM
アイロボットジャパン　合同会社,1,30,-29,-2900.0,NIOKURI_NM
株式会社　アーキサイト,9,256,-247,-2744.44,NIOKURI_NM
富士フイルムイメージングシステムズ　株式会社,40,346,-306,-765.0,NIOKURI_NM
株式会社　ＭＴＧ,4,29,-25,-625.0,NIOKURI_NM
吉井電気　株式会社,51,268,-217,-425.49,NIOKURI_NM
タイガー魔法瓶　株式会社,43,222,-179,-416.28,NIOKURI_NM
株式会社　ドリームファクトリー,7,35,-28,-400.0,NIOKURI_NM
ダイニチ工業　株式会社,1,5,-4,-400.0,NIOKURI_NM
ハクバ写真産業　株式会社,13,54,-41,-315.38,NIOKURI_NM
株式会社　グリーンハウス,4,16,-12,-300.0,NIOKURI_NM
キヤノンマーケティングジャパン　株式会社,115,423,-308,-267.83,NIOKURI_NM
株式会社　ゲート,15,47,-32,-213.33,NIOKURI_NM
ダイキン・コンシューマ・マーケティング　株式会社,2,6,-4,-200.0,NIOKURI_NM
株式会社　ドウシシャ,3,9,-6,-200.0,NIOKURI_NM
ユアサプライムス　株式会社,11,27,-16,-145.45,NIOKURI_NM
イツワ商事　株式会社,417,877,-460,-110.31,NIOKURI_NM
大光電機　株式会社,1,2,-1,-100.0,NIOKURI_NM
株式会社　エム・エス・シー,1,2,-1,-100.0,NIOKURI_NM
ＴＤ　ＳＹＮＮＥＸ　株式会社,3,6,-3,-100.0,NIOKURI_NM
ケルヒャージャパン　株式会社,1,2,-1,-100.0,NIOKURI_NM
エレコム　株式会社,1912,3093,-1181,-61.77,NIOKURI_NM
テラオ　株式会社,10,15,-5,-50.0,NIOKURI_NM
ＳＢ　Ｃ＆Ｓ　株式会社,484,719,-235,-48.55,NIOKURI_NM
ヤーマン　株式会社,24,34,-10,-41.67,NIOKURI_NM
サンワサプライ　株式会社,191,252,-61,-31.94,NIOKURI_NM
キヤノンＭＪ　株式会社（ＩＴプロダクト）,521,665,-144,-27.64,NIOKURI_NM
株式会社　アイ・オー・データ機器,59,73,-14,-23.73,NIOKURI_NM
セイコータイムクリエーション　株式会社,51,63,-12,-23.53,NIOKURI_NM
マスプロ電工　株式会社,88,104,-16,-18.18,NIOKURI_NM
株式会社　三菱電機ライフネットワーク,695,754,-59,-8.49,NIOKURI_NM
株式会社　ヤザワコーポレーション,137,146,-9,-6.57,NIOKURI_NM
リズム　株式会社,83,86,-3,-3.61,NIOKURI_NM
