TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
近畿法人営業１課,506,4,-502,-99.21,NIUKE_NM
西脇店(客注),58,1,-57,-98.28,NIUKE_NM
近畿法人営業２課,67,2,-65,-97.01,NIUKE_NM
新加古川店(理美容),35,2,-33,-94.29,NIUKE_NM
三木店(理美容),30,2,-28,-93.33,NIUKE_NM
MFS 池田駅前店,14,1,-13,-92.86,NIUKE_NM
ビバシティ彦根店(情報),38,3,-35,-92.11,NIUKE_NM
高槻宮田店(理美容),75,6,-69,-92.0,NIUKE_NM
MFS 四条河原町店,9,1,-8,-88.89,NIUKE_NM
★東大阪店(理美容),34,4,-30,-88.24,NIUKE_NM
太子店(理美容),50,6,-44,-88.0,NIUKE_NM
★大津店(理美容),32,4,-28,-87.5,NIUKE_NM
★八尾南店(客注),24,3,-21,-87.5,NIUKE_NM
★高槻店(理美容),28,4,-24,-85.71,NIUKE_NM
★神戸北町店(理美容),63,9,-54,-85.71,NIUKE_NM
松井山手店(理美容),28,4,-24,-85.71,NIUKE_NM
EFS 清和台店,7,1,-6,-85.71,NIUKE_NM
もりのみや店(理美容),48,7,-41,-85.42,NIUKE_NM
岸和田店(理美容),34,5,-29,-85.29,NIUKE_NM
塚口店(理美容),27,4,-23,-85.19,NIUKE_NM
西明石店(理美容),31,5,-26,-83.87,NIUKE_NM
MFS おおさかでんき上町台店,17,3,-14,-82.35,NIUKE_NM
オアシスタウンキセラ川西店(理美容),33,6,-27,-81.82,NIUKE_NM
MFS ＪＯＹたきぐち,55,10,-45,-81.82,NIUKE_NM
西宮店(消耗家電),516,96,-420,-81.4,NIUKE_NM
MFS 豊中曽根店,16,3,-13,-81.25,NIUKE_NM
イオン福知山店(ＡＶ),5,1,-4,-80.0,NIUKE_NM
西明石店(客注),5,1,-4,-80.0,NIUKE_NM
京都ファミリー店(客注),5,1,-4,-80.0,NIUKE_NM
西明石店(ＡＶ),18,4,-14,-77.78,NIUKE_NM
イオンタウン湖南店(客注),13,3,-10,-76.92,NIUKE_NM
西宮店(理美容),66,16,-50,-75.76,NIUKE_NM
エコール・リラ店(理美容),8,2,-6,-75.0,NIUKE_NM
なかもず店(理美容),40,10,-30,-75.0,NIUKE_NM
門真店(理美容),28,7,-21,-75.0,NIUKE_NM
中環東大阪店(客注),4,1,-3,-75.0,NIUKE_NM
みてじま店(理美容),27,7,-20,-74.07,NIUKE_NM
箕面船場店(理美容),30,8,-22,-73.33,NIUKE_NM
★八尾南店(理美容),54,15,-39,-72.22,NIUKE_NM
泉北店(理美容),63,18,-45,-71.43,NIUKE_NM
河内長野店(客注),7,2,-5,-71.43,NIUKE_NM
新守山店(理美容),38,11,-27,-71.05,NIUKE_NM
門真店(消耗家電),24,7,-17,-70.83,NIUKE_NM
MFS 能勢口駅前店,10,3,-7,-70.0,NIUKE_NM
八尾店(理美容),39,12,-27,-69.23,NIUKE_NM
ＪＲ尼崎駅店(理美容),64,20,-44,-68.75,NIUKE_NM
堺店(理美容),38,12,-26,-68.42,NIUKE_NM
堺インター店(理美容),28,9,-19,-67.86,NIUKE_NM
木津川店(ＡＶ),3,1,-2,-66.67,NIUKE_NM
赤穂店(客注),3,1,-2,-66.67,NIUKE_NM
くずはモール店(客注),3,1,-2,-66.67,NIUKE_NM
宝塚店(客注),3,1,-2,-66.67,NIUKE_NM
水口店(理美容),27,9,-18,-66.67,NIUKE_NM
円町店(理美容),72,24,-48,-66.67,NIUKE_NM
宝塚店(理美容),27,9,-18,-66.67,NIUKE_NM
ホテルモントレ姫路店(消耗家電),66,23,-43,-65.15,NIUKE_NM
枚方店(理美容),36,13,-23,-63.89,NIUKE_NM
河内長野店(理美容),38,14,-24,-63.16,NIUKE_NM
ＪＲ芦屋駅店,190,70,-120,-63.16,NIUKE_NM
ホテルモントレ姫路店(理美容),29,11,-18,-62.07,NIUKE_NM
久御山店(理美容),26,10,-16,-61.54,NIUKE_NM
京都ファミリー店(ＡＶ),10,4,-6,-60.0,NIUKE_NM
★高槻店(消耗家電),32,13,-19,-59.38,NIUKE_NM
御影店(理美容),66,27,-39,-59.09,NIUKE_NM
★オアシスタウン吹田SST店(客注),12,5,-7,-58.33,NIUKE_NM
おしくま店(理美容),45,19,-26,-57.78,NIUKE_NM
★姫路店(理美容),59,25,-34,-57.63,NIUKE_NM
ビバモール美原南インター店(生活),139,59,-80,-57.55,NIUKE_NM
天満橋店(理美容),40,17,-23,-57.5,NIUKE_NM
伊丹店(理美容),77,33,-44,-57.14,NIUKE_NM
EFS 柴原店,7,3,-4,-57.14,NIUKE_NM
オアシスタウンキセラ川西店(客注),7,3,-4,-57.14,NIUKE_NM
豊中店(消耗家電),102,46,-56,-54.9,NIUKE_NM
福崎店(生活),177,81,-96,-54.24,NIUKE_NM
イオンモール橿原店(理美容),53,25,-28,-52.83,NIUKE_NM
泉大津店(消耗家電),36,17,-19,-52.78,NIUKE_NM
豊中店(理美容),67,32,-35,-52.24,NIUKE_NM
岸和田店(客注),2,1,-1,-50.0,NIUKE_NM
みてじま店(客注),4,2,-2,-50.0,NIUKE_NM
アルプラザ近江八幡店(客注),2,1,-1,-50.0,NIUKE_NM
イオンタウン湖南店(消耗家電),22,11,-11,-50.0,NIUKE_NM
イオンモール北大路店(客注),4,2,-2,-50.0,NIUKE_NM
河内長野店(消耗家電),64,32,-32,-50.0,NIUKE_NM
東淡路店(理美容),32,16,-16,-50.0,NIUKE_NM
東近江店(ＡＶ),2,1,-1,-50.0,NIUKE_NM
ＪＲ尼崎駅店(客注),4,2,-2,-50.0,NIUKE_NM
新大和小泉店(客注),2,1,-1,-50.0,NIUKE_NM
★イオン洛南店(生活),182,92,-90,-49.45,NIUKE_NM
くずはモール店(理美容),43,22,-21,-48.84,NIUKE_NM
塚口店(生活),140,72,-68,-48.57,NIUKE_NM
中環東大阪店(消耗家電),86,45,-41,-47.67,NIUKE_NM
ブルメールＨＡＴ神戸店(生活),189,99,-90,-47.62,NIUKE_NM
養父店(生活),89,47,-42,-47.19,NIUKE_NM
イオンモール堺北花田店(ＡＶ),11,6,-5,-45.45,NIUKE_NM
京橋店(理美容),29,16,-13,-44.83,NIUKE_NM
イズミヤ長岡店(生活),210,117,-93,-44.29,NIUKE_NM
泉大津店(理美容),34,19,-15,-44.12,NIUKE_NM
★東大阪店(消耗家電),41,23,-18,-43.9,NIUKE_NM
久御山店(消耗家電),26,15,-11,-42.31,NIUKE_NM
イオン三田ＷＴ店(生活),183,106,-77,-42.08,NIUKE_NM
★オアシスタウン吹田SST店(生活),231,134,-97,-41.99,NIUKE_NM
★姫路店(ＡＶ),12,7,-5,-41.67,NIUKE_NM
★大津店(ＡＶ),5,3,-2,-40.0,NIUKE_NM
★八尾南店(消耗家電),69,42,-27,-39.13,NIUKE_NM
ＪＲ尼崎駅店(ＡＶ),23,14,-9,-39.13,NIUKE_NM
なかもず店(消耗家電),36,22,-14,-38.89,NIUKE_NM
ベルファ都島店(ＡＶ),13,8,-5,-38.46,NIUKE_NM
京橋店(消耗家電),48,30,-18,-37.5,NIUKE_NM
EFS 電器ランド,8,5,-3,-37.5,NIUKE_NM
近鉄上本町店(生活),140,88,-52,-37.14,NIUKE_NM
社店(生活),100,63,-37,-37.0,NIUKE_NM
洛北阪急スクエア店(情報),107,68,-39,-36.45,NIUKE_NM
ミ・ナーラ店(生活),110,70,-40,-36.36,NIUKE_NM
赤穂店(ＡＶ),11,7,-4,-36.36,NIUKE_NM
ららぽーと和泉店(生活),102,65,-37,-36.27,NIUKE_NM
★ららぽーとEXPOCITY店(理美容),36,23,-13,-36.11,NIUKE_NM
松井山手店(情報),32,21,-11,-34.38,NIUKE_NM
トナリエ南千里店(生活),221,146,-75,-33.94,NIUKE_NM
★イオンモール茨木店(生活),117,78,-39,-33.33,NIUKE_NM
MFS 御津店,3,2,-1,-33.33,NIUKE_NM
太子店(客注),3,2,-1,-33.33,NIUKE_NM
垂水店(理美容),60,40,-20,-33.33,NIUKE_NM
イオンタウン湖南店(理美容),6,4,-2,-33.33,NIUKE_NM
洛北阪急スクエア店(生活),261,176,-85,-32.57,NIUKE_NM
ダイエー光明池店(生活),96,65,-31,-32.29,NIUKE_NM
京都ファミリー店(情報),85,58,-27,-31.76,NIUKE_NM
★ららぽーとEXPOCITY店(消耗家電),35,24,-11,-31.43,NIUKE_NM
