TITLE,SGY_JSK_QTY_2023-04-15,SGY_JSK_QTY_2023-03-15,CHANGE_AMOUNT,CHANGE(%),CATEGORY
815,2136,11,-2125,-99.49,TANKA
640,1225,62,-1163,-94.94,TANKA
940,865,2,-863,-99.77,TANKA
588,875,208,-667,-76.23,TANKA
155,470,5,-465,-98.94,TANKA
7559,444,2,-442,-99.55,TANKA
400,458,20,-438,-95.63,TANKA
645,405,4,-401,-99.01,TANKA
1070,457,61,-396,-86.65,TANKA
320,391,15,-376,-96.16,TANKA
70,1160,789,-371,-31.98,TANKA
1155,427,69,-358,-83.84,TANKA
338,402,57,-345,-85.82,TANKA
1040,408,92,-316,-77.45,TANKA
5306,300,11,-289,-96.33,TANKA
698,310,29,-281,-90.65,TANKA
426,280,2,-278,-99.29,TANKA
3250,276,12,-264,-95.65,TANKA
128,260,6,-254,-97.69,TANKA
250,289,37,-252,-87.2,TANKA
494,256,11,-245,-95.7,TANKA
1441,227,11,-216,-95.15,TANKA
535,229,25,-204,-89.08,TANKA
1189,238,44,-194,-81.51,TANKA
325,233,40,-193,-82.83,TANKA
4186,190,6,-184,-96.84,TANKA
2263,183,1,-182,-99.45,TANKA
660,190,18,-172,-90.53,TANKA
341,178,22,-156,-87.64,TANKA
990,194,48,-146,-75.26,TANKA
4567,150,7,-143,-95.33,TANKA
1003,143,8,-135,-94.41,TANKA
4123,176,69,-107,-60.8,TANKA
3386,112,6,-106,-94.64,TANKA
4886,120,19,-101,-84.17,TANKA
122,100,2,-98,-98.0,TANKA
1686,95,3,-92,-96.84,TANKA
6286,91,1,-90,-98.9,TANKA
6676,91,4,-87,-95.6,TANKA
5117,92,6,-86,-93.48,TANKA
666,91,8,-83,-91.21,TANKA
175,100,21,-79,-79.0,TANKA
2366,71,3,-68,-95.77,TANKA
143,258,192,-66,-25.58,TANKA
117,67,3,-64,-95.52,TANKA
1030,68,5,-63,-92.65,TANKA
2495,67,7,-60,-89.55,TANKA
195,68,12,-56,-82.35,TANKA
750,167,112,-55,-32.93,TANKA
700,101,49,-52,-51.49,TANKA
468,79,34,-45,-56.96,TANKA
348,43,2,-41,-95.35,TANKA
268,45,5,-40,-88.89,TANKA
2340,54,14,-40,-74.07,TANKA
10054,39,1,-38,-97.44,TANKA
1417,40,2,-38,-95.0,TANKA
3360,48,10,-38,-79.17,TANKA
2610,41,4,-37,-90.24,TANKA
1898,63,26,-37,-58.73,TANKA
192,47,11,-36,-76.6,TANKA
2026,55,20,-35,-63.64,TANKA
147,124,89,-35,-28.23,TANKA
1512,58,24,-34,-58.62,TANKA
1946,36,6,-30,-83.33,TANKA
301,51,21,-30,-58.82,TANKA
1225,33,4,-29,-87.88,TANKA
2086,69,41,-28,-40.58,TANKA
76500,29,1,-28,-96.55,TANKA
1467,28,2,-26,-92.86,TANKA
827,26,2,-24,-92.31,TANKA
1063,38,15,-23,-60.53,TANKA
